Created Date,Gift Name,User ID,Product,Price,Has Relationship (Yes / No),Occasion,Use Case,Missing Value Check
02-02-2021,Milk Chocolate &amp; Toffee &quot;Happy Birthday&quot; and White Chocolate Birthday Cake Bars,45118428,GC,8.49,No,Special Occasions,Happy Birthday,0
02-02-2021,Chocolate Drop Shortbread Rounds in Tin,42705616,GC,9.99,No,Just Because,Just Because / Miss you / Love,0
02-02-2021,Dark Chocolate Truffles with Edible Gold Leaf,43451200,GC,14.99,No,Special Occasions,Happy Birthday,0
02-02-2021,Milk Chocolate &amp; Toffee &quot;Happy Birthday&quot; and White Chocolate Birthday Cake Bars,38506161,GC,8.49,No,Special Occasions,Happy Birthday,0
02-02-2021,Milk Chocolate &amp; Toffee &quot;Congrats&quot; and Milk Chocolate &amp; Salted Caramel Bars,45908630,GC,8.49,No,Just Because,Just Because / Miss you / Love,0
02-02-2021,Sea Salt Caramel Drinking Chocolate,43270146,PC,11.99,No,Just Because,Thank You,0
02-02-2021,Milk Chocolate &amp; Toffee &quot;Congrats&quot; and Milk Chocolate &amp; Salted Caramel Bars,39171572,PC,8.49,No,Special Occasions,Congratulations,0
02-02-2021,Milk Chocolate &amp; Toffee &quot;Happy Birthday&quot; and White Chocolate Birthday Cake Bars,45219166,GC,8.49,No,Just Because,Just Because / Miss you / Love,0
02-02-2021,Milk Chocolate &amp; Toffee &quot;Thank you&quot; and Dark Chocolate &amp; Maldon Sea Salt Bars,44065536,PC,8.49,No,Just Because,Thank You,0
02-02-2021,Chocolate Drop Shortbread Rounds in Tin,39680618,PC,9.99,No,Just Because,Thank You,0
02-02-2021,Happy Birthday Gift Set - size 36-40,41870396,GC,29.99,No,Just Because,Just Because / Miss you / Love,0
02-02-2021,English Breakfast Whole Leaf Tea Bags Caddy,45391706,PC,7.49,No,Special Occasions,New Home,0
02-02-2021,Milk Chocolate &amp; Toffee &quot;Congrats&quot; and Milk Chocolate &amp; Salted Caramel Bars,44567182,PC,8.49,Yes,Special Occasions,Congratulations,0
02-02-2021,Milk Chocolate &amp; Toffee &quot;Congrats&quot; and Milk Chocolate &amp; Salted Caramel Bars,38243319,GC,8.49,No,Special Occasions,Happy Birthday,0
02-02-2021,Happy Birthday Pearl And Candle In a Matchbox,44071762,GC,4.99,No,Special Occasions,Happy Birthday,0
02-02-2021,Milk Chocolate &amp; Toffee &quot;Happy Birthday&quot; and White Chocolate Birthday Cake Bars,38413837,GC,8.49,No,Special Occasions,Happy Birthday,0
02-02-2021,Bonsai Trees Growing Kit,38163057,PC,12.99,No,Special Occasions,Happy Birthday,0
02-02-2021,Bonsai Trees Growing Kit,39548791,GC,12.99,No,Just Because,Thank You,0
02-02-2021,Belgian Chocolates Selection,43878720,GC,13.99,No,Special Occasions,Happy Birthday,0
02-02-2021,Milk Chocolate &amp; Toffee &quot;Congrats&quot; and Milk Chocolate &amp; Salted Caramel Bars,39817649,GC,8.49,Yes,Special Occasions,Congratulations,0
02-02-2021,Happy Birthday Gift Set - size 36-40,41999416,GC,29.99,No,Special Occasions,Happy Birthday,0
02-02-2021,Dark Chocolate Truffles with Edible Gold Leaf,38161657,GC,14.99,No,Special Occasions,Happy Birthday,0
02-02-2021,Chocolate Drop Shortbread Rounds in Tin,45665666,GC,9.99,No,Just Because,Just Because / Miss you / Love,0
02-02-2021,Dark Chocolate Truffles with Edible Gold Leaf,39171212,GC,14.99,No,Just Because,Thank You,0
02-02-2021,Chocolate Drop Shortbread Rounds in Tin,38823920,PC,9.99,No,Just Because,Thank You,0
02-02-2021,Happy Birthday Music Box in a Matchbox,45677664,GC,5.99,No,Just Because,Just Because / Miss you / Love,0
02-02-2021,The Captains Kentish Apple &amp; Hazelnut Cookies,41902520,PC,6.99,No,Just Because,Just Because / Miss you / Love,0
02-02-2021,Dark Chocolate Truffles with Edible Gold Leaf,44634028,GC,14.99,No,Special Occasions,Happy Birthday,0
02-02-2021,Dark Chocolate Truffles with Edible Gold Leaf,42710276,GC,14.99,No,Special Occasions,Happy Birthday,0
02-02-2021,&quot;I Love You&quot; Bunny,45949708,PC,11.99,No,Just Because,Just Because / Miss you / Love,0
02-02-2021,Dark Chocolate Truffles with Edible Gold Leaf,37526023,GC,14.99,No,Special Occasions,Happy Birthday,0
02-02-2021,The Captains Kentish Apple &amp; Hazelnut Cookies,38766432,PC,6.99,No,Special Occasions,Happy Birthday,0
02-02-2021,&quot;Sorry Youre Pawly&quot; Puppy,39455406,GC,11.99,No,Just Because,Just Because / Miss you / Love,0
